r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
1.0000,2.0000,0.2500,0.563012,0.167337,-0.137151,-0.137151,0
1.0000,2.0000,0.3000,-0.043397,0.167338,0.168478,-0.043397,0
1.0000,2.0000,0.3500,0.030911,0.167338,0.150002,0.030911,0
1.0000,2.0000,0.4000,-0.271899,0.167339,0.125370,-0.271899,0
1.0000,2.0000,0.4500,-0.434729,0.167339,-0.054240,-0.434729,0
1.0000,2.2500,0.0000,1.000000,0.167335,0.196876,0.167335,1
1.0000,2.2500,0.0500,1.000000,0.167335,0.163573,0.163573,1
1.0000,2.2500,0.1000,0.837830,0.167336,0.127593,0.127593,1
1.0000,2.2500,0.1500,0.518180,0.167336,0.151628,0.151628,1
1.0000,2.2500,0.2000,0.264355,0.167337,-0.042720,-0.042720,0
1.0000,2.2500,0.2500,-0.016572,0.167337,0.100900,-0.016572,0
1.0000,2.2500,0.3000,-0.136975,0.167338,0.004208,-0.136975,0
1.0000,2.2500,0.3500,-0.418409,0.167338,0.095598,-0.418409,0
1.0000,2.2500,0.4000,-0.351283,0.167339,0.019645,-0.351283,0
1.0000,2.2500,0.4500,-0.460551,0.167339,-0.047493,-0.460551,0
1.0000,2.5000,0.0000,1.000000,0.167335,0.128338,0.128338,1
1.0000,2.5000,0.0500,0.798249,0.167335,0.112225,0.112225,1
1.0000,2.5000,0.1000,0.549802,0.167336,0.074400,0.074400,1
1.0000,2.5000,0.1500,0.037097,0.167336,0.315825,0.037097,0
1.0000,2.5000,0.2000,-0.047917,0.167337,0.105401,-0.047917,0
1.0000,2.5000,0.2500,-0.161007,0.167337,0.044518,-0.161007,0
1.0000,2.5000,0.3000,-0.354851,0.167338,0.026043,-0.354851,0
1.0000,2.5000,0.3500,-0.300749,0.167338,0.134380,-0.300749,0
1.0000,2.5000,0.4000,-0.377763,0.167339,0.034794,-0.377763,0
1.0000,2.5000,0.4500,-0.351053,0.167339,-0.045407,-0.351053,0
1.0000,2.7500,0.0000,0.513101,0.167335,0.151101,0.151101,1
1.0000,2.7500,0.0500,0.213421,0.167335,0.175690,0.167335,1
1.0000,2.7500,0.1000,-0.030460,0.167336,0.080925,-0.030460,0
1.0000,2.7500,0.1500,-0.091158,0.167336,-0.060671,-0.091158,0
1.0000,2.7500,0.2000,-0.268307,0.167337,0.178813,-0.268307,0
1.0000,2.7500,0.2500,-0.347180,0.167337,0.104440,-0.347180,0
1.0000,2.7500,0.3000,-0.334133,0.167338,0.055854,-0.334133,0
1.0000,2.7500,0.3500,-0.450278,0.167338,0.182713,-0.450278,0
1.0000,2.7500,0.4000,-0.331643,0.167339,0.047946,-0.331643,0
1.0000,2.7500,0.4500,-0.408879,0.167339,-0.040510,-0.408879,0
1.0000,3.0000,0.0000,0.261457,0.167335,0.069541,0.069541,1
1.0000,3.0000,0.0500,0.020354,0.167335,0.209046,0.020354,0
1.0000,3.0000,0.1000,-0.034323,0.167336,0.247073,-0.034323,0
1.0000,3.0000,0.1500,-0.282526,0.167336,0.127862,-0.282526,0
1.0000,3.0000,0.2000,-0.305683,0.167337,0.244985,-0.305683,0
1.0000,3.0000,0.2500,-0.308344,0.167337,0.050160,-0.308344,0
1.0000,3.0000,0.3000,-0.350427,0.167338,0.083224,-0.350427,0
1.0000,3.0000,0.3500,-0.502205,0.167338,0.034613,-0.502205,0
